Label,Db_id,Text,Sentiment
-1,9839,"Next year, Hema's strategic focus would shift from nationwide expansion to higher operating efficiency, while forming a more refined business tailored to diversified demographic groups. $BABA",1
0,9840,"BABA is also a recipient of a newly-issued 33% ownership interest in Ant Financial while the prior 37.5% pretax profit-sharing arrangement has already been terminated.

$BABA",1
0,9841,"Alipay has more than 60 million merchants and 700 million monthly active users (MAU) in China. Of these, around 200 million were newly subscribed in 2018.
$BABA",1
0,9842,Alipay is currently the largest third-party mobile payment platform in China. It is widely accepted by consumers and merchants across every industry vertical. $BABA,1
0,9843,"Along that line, Alipay users utilize a more diverse mix of Ant Financial products in different offline and online consumption scenarios, driving up a five-year relationship balance growth to more than 9X.
$BABA",1
0,9844,"I believe Ant Financial has become an indispensable user growth driver for BABA digital economy, as annual active users reached 900 million in China and 1.2 billion globally (including local wallet partners). $BABA",1
-2,9845,An estimated 480 million customers use more than 3 of Ant Financial products and 190 million users utilize all 5 categories of ANT's service. $BABA,0
0,9846,"3. Ant Financial
Ant Financial is emerging to become a highly versatile fintech asset of the company. It spans a diversified product portfolio that includes financing, credit system, payment, wealth management and insurance. $BABA",1
0,9847,"Live streaming anticipates more than Rmb 100 billion in gross merchandise value (GMV) before 2019 ends. It is up 140% year-on-year from April to August period. Idle Fish is gaining strength with a total GMV of RMB 100 billion expected this year.
$BABA",1
0,9848,"Assets subject to monetization include Feed which is expected to grow 104% year-on-year user views in the first quarter of 2020 with an estimated 15% growth contribution to customer management revenues in the year 2022.
$BABA",1
0,9849,Taobao is still under-monetized as the majority of the company's China retail customer management revenue is sourced from search traffic monetization. $BABA,1
0,9850,"2. Feed Monetization
BABA decided not to expand monetization in 2020. I expect that the company would provide more positive details in the near term on its user engagement trends and monetization as more traffic is being allocated to feed on Taobao. $BABA",1
0,9851,"It will be driven by a consumption-led economy and continued wallet share gain among consumers, especially in low-tier cities.

$BABA",1
0,9852,I noted that Chinese e-commerce is expected to grow at 17% CAGR from 2019 to 2021 with online e-commerce penetration to reach 31% by the year 2021. $BABA,1
0,9853,"(2) sufficient room for e-commerce to expand, as online penetration of this vertical remains low as compared to other verticals such as gaming and advertising and, (3) obviously the enormous scale of China's total addressable retail market. $BABA",1
0,9854,"It implies an extended consumption shift towards online platform based on the following factors cited by Goldman Sachs: (1) robust structural consumption growth story with the country's middle class population still rising, $BABA",1
0,9855,"Online retail goods sales growth has been satisfactory at 22% year-on-year in the second quarter this year. Consumers also experienced a further climb in online retail penetration from 23.6% to 24.8% in July.

$BABA",1
0,9856,"1. Ecommerce Vast Potential
The e-commerce industry in China continues to ride on its robust growth potential. $BABA",1
0,9857,"On this backdrop, China's macro-environment is recovering from the trough in 2018. Now it's time for investors to revisit BABA's overall vision and strategy as well as individual business lines' blueprint. $BABA",1
-1,9858,"and PinDuoDuo (NASDAQ: PDD) followed with CNY 50 billion promotions of their own.
$BABA",0
0,9859,The shopping festival was considered to be the most competitive in recent years boosted by intense competition among market leaders and high profile promotions. $BABA,1
